Ph,N,P,K,Zinc,Sulfur,Soil_Type,Rainfall,Wind_Speed,Humidity_Winter,Humidity_Spring,Humidity_Summer,Humidity_Autumn,State,District,Altitude,Season,Market_Demand,Water_Availability,Crop
5.81,0.23,5.401,738.231,2.976,13.816,Yellowish brown,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,Tamil Nadu,Coimbatore,607,Zaid,5.4,358.0645987344109,Barley
5.43,0.23,10.478,606.382,3.077,16.421,Yellowish brown,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,Rajasthan,Jodhpur,940,Zaid,5.6,409.6569554131098,Barley
5.41,0.23,6.847,386.58,6.611,16.557,brown,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,Rajasthan,Udaipur,467,Kharif,9.5,310.59623569700057,Barley
5.65,0.23,3.418,207.086,0.460181,16.075,red,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,Maharashtra,Nashik,145,Zaid,5.6,426.61334796702977,Barley
5.27,0.23,39.282,317.357,2.743,12.558,red,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,Gujarat,Ahmedabad,252,Rabi,6.3,406.7270186706186,Barley
5.06,0.23,8.48,148.437,4.511,17.755,brown,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,Madhya Pradesh,Gwalior,383,Rabi,8.5,69.49073547082843,Barley
5.57,0.23,2.147,303.528,1.418,11.203,red,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,West Bengal,Kolkata,53,Kharif,7.9,345.472090601782,Barley
5.2,0.23,30.3,380.599,1.772,13.985,brown,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,Bihar,Patna,125,Rabi,5.8,361.1629238896042,Barley
5.34,0.23,6.382,401.063,2.433,13.069,red,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,Uttar Pradesh,Varanasi,1113,Kharif,8.8,268.2927797806492,Barley
5.95,0.23,27.577,226.949,0.451893,17.067,gray,2.073333333,6.24,7.993333333,10.45666667,11.96333333,9.683333333,Uttar Pradesh,Lucknow,1173,Rabi,8.9,453.061288798077,Barley
